"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10598","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10599","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2519","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9501","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/54","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/6124","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10217","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2508","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/3581","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10566","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/5678","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9977","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2518","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/8984","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7570","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2517","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2530","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/3565","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2516","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1808","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1947","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10496","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/8234","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7564","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10318","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7579","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/4176","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1830","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7964","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7404","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10027","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1525","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2512","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7555","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/90","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7571","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
